商品ID,商品コード,管理番号,商品名,箱入数,単位,発注先ID,棚番号,段数,定数在庫_個数,単価_箱
PRD-082,33001-9536HP,82,テガダームⅡトランスペアレントドレッシング,50,個,store-01,2,2,100,9300.0
PRD-083,33035-66800679,83,ハイドロサイトプラス　標準タイプ 10.0×10.0㎝,10,個,store-01,3,2,20,9620.0
PRD-084,52047-ET10101,84,デュオアクティブET 10×10㎝,10,個,store-01,,,0,5800.0
PRD-085,45003-20361,85,クイックフィックスN2号,100,個,store-01,1,4,200,2040.0
PRD-086,45003-11903,86,シルキーテックス 5号 ベージュ 5m/巻 6巻/1箱,6,個,store-01,1,4,0,2529.96
PRD-087,45003-12002,87,シルキーポアドレッシング 3号,50,個,store-01,2,2,0,1380.0
PRD-088,12020-8-5965-01,88,プロシェアドレッシングロール　50mm,10,個,store-01,,,0,11400.0
PRD-089,12020-7-1522-02,89,滅菌Y字ガーゼ 12折 7.5×7.5cｍ,50,個,store-01,3,3,150,665.0
PRD-090,12020-8-6515-07,90,滅菌尺角ガーゼ,100,個,store-01,,,0,7433.0
PRD-091,12020-8-6604-03,91,メディコム不織布ガーゼ 7.5×7.5cm（150×150㎜）,200,個,store-01,3,2,0,550.0
PRD-092,12020-8-6604-05,92,メディコム不織布ガーゼ 12.5×12.5㎝（250×250㎜）,200,個,store-01,3,2,0,2210.0
PRD-093,41007-013847,93,ワンウェイ滅菌Y字ガーゼ 30-60Y,50,個,store-01,3,2,200,2560.0
PRD-094,22110-MC-SHOT-S,94,ショットパッチ S,1000,個,store-01,,,0,41500.0
PRD-095,52093-3252,95,優肌絆 不織布 肌 7m/巻,12,個,store-01,1,4,0,2655.0
PRD-096,52093-3262,96,優肌絆 不織布 白 7m/巻,12,個,store-01,1,4,0,2119.92
PRD-097,12020-4-3214-01,97,ニトリル手袋エッジL 100枚,100,個,store-01,,,0,179000.0
PRD-098,12020-7-8025-01,98,抗菌性ニトリル手袋　パウダーフリーL,100,個,store-01,,,0,183000.0
PRD-099,14129-723300871,99,滅菌Y字トリーゼP 12PLY 7.5×7.5,100,個,store-01,3,2,500,1500.0
PRD-100,12020-8-9569-02,100,プロシェア プラスチック手袋M,100,個,store-01,,,0,44000.0
PRD-101,7-3417-01,101,Bescher 滅菌折りガーゼＹ,30,個,store-01,3,2,0,799.8
PRD-102,7-1522-02,102,滅菌折りガーゼ 7.5×7.5cm 12折り,100,個,store-01,3,2,200,1330.0
PRD-103,227294,103,滅菌ラキュリー 30cmx30cm 4ツ折,20,個,store-01,3,2,0,1930.0
PRD-104,227331,104,滅菌ラキュリー 30cmx30cm 8ツ折,30,個,store-01,3,2,0,0
PRD-105,1-00001,105,ポンプ用チューブセット（フィルター付）,6,個,store-02,2,3,0,0
PRD-106,1-00002,106,エイミーMPユニット 300ml,0,個,store-02,3,5,0,0
PRD-107,2-00001,107,ボンビバ静注1㎎シリンジ,0,個,store-03,,,0,0
PRD-108,2-00002,108,プラリア皮下注60㎎シリンジ,0,個,store-03,,,0,0
PRD-109,2-00003,109,イベニティ皮下注105㎎シリンジ,0,個,store-03,,,0,0
PRD-110,2-00004,110,アルツディスポ関節注25㎎,0,個,store-03,,,0,0
PRD-111,2-00005,111,キシロカイン注ポリアンプ1%,0,個,store-03,,,0,0
PRD-112,2-00006,112,生食注シリンジ「テルモ」10mL,0,個,store-03,,,0,0
PRD-113,2-00007,113,ジアゼパム注射液10㎎,0,個,store-03,,,0,0
PRD-114,2-00008,114,タゾピぺ配合静注用4.5,0,個,store-03,,,0,0
PRD-115,2-00009,115,スルバシリン静注用1.5g,0,個,store-03,,,0,0
PRD-116,2-00010,116,セフトリアキソンナトリウム静注用1g,0,個,store-03,,,0,0
PRD-117,2-00011,117,フロセミド注射液20㎎/2mL,0,個,store-03,,,0,0
PRD-118,2-00012,118,エピペン注射液0.3㎎,0,個,store-03,,,0,0
PRD-119,2-00013,119,セレネース注5㎎,0,個,store-03,,,0,0
PRD-120,2-00014,120,大塚生食注 100mL,0,個,store-03,,,0,0
PRD-121,2-00015,121,大塚蒸留水 20mL,0,個,store-03,,,0,0
PRD-122,2-00016,122,大塚糖液50%,0,個,store-03,,,0,0
PRD-123,2-00017,123,イムノエースSARS-CoV-2/Flu,0,個,store-03,,,0,0
PRD-124,3-00001,124,袋（Ｌ）,0,個,store-04,3,1,0,0
PRD-125,3-00002,125,コーケン　ネオブレス10ｍｍ,0,個,store-04,,,0,0
PRD-126,61099-1157038-CH,126,テルモ注射針２２G,5,個,store-01,,,5,2250.0
PRD-127,4-2001,127,ジェイフィード栄養ボトル　600ml,100,個,store-05,,,0,0
PRD-129,JF-FPV060,129,ジェイフィード栄養セット　20入,5,個,store-01,,,0,0
PRD-130,JF-3YSL35Q,130,シリンジ1ｍｌ　ツベルクリン用　針付,20,個,store-01,,,0,0
PRD-131,12020-7-6767-01,131,KLY滅菌潤滑ジェリ― 5g/袋,100,個,store-01,1,4,0,4170.0
PRD-132,44001-14753,132,テルフュージョン輸血セット,10,個,store-01,2,5,0,1706.0
PRD-133,11031-10202113,133,アンブ蘇生バッグ,10,個,store-01,,,0,45600.0
PRD-134,11006-60862,134,ラコールNF配合経腸用半固形剤専用アダプタ,20,個,store-01,1,2,0,1490.0
PRD-135,45003-17433,135,アンシルク・プロJストッキングM,1,個,store-01,2,2,0,2120.0
PRD-136,45003-17431,136,アンシルク・プロJストッキングLL,1,個,store-01,2,2,0,0
PRD-137,2-00018,137,業務用シーツ,1,個,store-03,,,0,0
PRD-138,25010-1100674,138,ケーパイン,1,個,store-01,3,3,0,4870.0
PRD-139,1-00003,139,滅菌舌圧子,1,個,store-01,3,3,0,0
PRD-140,1-00004,140,マイクロファインプラス,1,個,store-01,3,3,0,0
PRD-141,1-00005,141,ペンニードルプラス,1,個,store-01,3,4,0,0
PRD-142,1-00006,142,ナノパスニードル,1,個,store-01,3,4,0,0
PRD-143,1-00007,143,気管吸引セット,10,個,store-01,3,4,0,0
PRD-144,1-00008,144,WiSM　IJテープ Sサイズ,100,個,store-01,2,1,0,0
PRD-145,1-00009,145,JMS輸液セットDEHPフリー　微量用,10,個,store-01,,,0,0
PRD-146,62190-02423,146,ステリストリップ,1,個,store-01,,,0,29.8
PRD-147,12020-0-6825-08,147,気管カニューレ用エプロンガーゼ,100,個,store-01,,,0,27700.0
PRD-148,52006-08-016,148,MICボーラスストレート接続チューブ30ｃｍ,5,個,store-01,,,0,100.0
PRD-149,22112-0143-12,149,MICボーラスストレート接続チューブ30ｃｍ,5,個,store-01,,,0,6100.0
PRD-150,5,150,ワンショットプラスヘキシジン,100,個,store-05,,,0,0
